id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
346,21,27,23,28,25,23,21,17,16,16,21
347,5,7,,5,,,,,,4,5
348,31,13,32,24,15,14,22,14,27,19,15
349,16,18,21,13,20,,,11,5,25,15
350,11,16,15,14,,13,10,23,18,15,14
351,12,14,7,15,10,13,12,10,6,11,13
352,34,25,30,27,27,31,46,39,39,32,22
353,25,19,27,30,31,34,22,25,30,29,37
354,6,9,6,6,,,,8,14,10,9
355,,8,,9,,,11,17,17,24,32
356,55,59,56,41,60,68,80,51,69,73,71
357,9,15,19,6,14,16,13,14,11,10,13
358,29,22,26,21,24,27,24,41,37,26,32
359,10,7,12,23,,25,11,12,8,8,14
360,47,58,60,55,47,34,39,62,42,48,65
361,8,11,11,3,10,,,10,2,7,11
362,25,24,29,33,33,24,21,28,23,25,23
363,18,16,17,24,17,21,17,20,20,13,18
364,11,12,17,14,18,14,18,15,15,17,15
365,2,2,9,6,,,,6,4,,7
366,4,6,7,5,,,,2,,,4
367,12,13,11,23,12,10,18,23,23,24,19
368,32,31,33,33,28,17,24,40,27,31,44
369,9,13,6,10,16,,11,8,7,4,
370,26,32,28,27,32,19,14,21,21,25,29
371,52,55,66,55,60,46,47,60,84,64,69
372,101,94,122,112,113,114,109,121,152,112,125
373,6,10,5,10,,,16,12,11,6,12
374,13,20,19,16,12,16,10,13,21,16,19
375,16,15,10,21,11,21,24,15,13,12,14
376,45,32,33,37,31,26,31,29,25,21,19
377,45,53,47,49,57,42,39,44,59,59,42
378,12,7,9,9,13,15,11,13,15,20,16
379,67,61,56,63,74,51,56,72,68,62,56
380,72,85,58,74,79,72,72,83,80,62,77
381,12,8,10,11,10,11,,19,10,4,10
382,11,13,11,12,12,9,13,6,7,15,5
383,20,21,48,34,29,19,23,34,27,27,32
385,50,33,40,42,48,42,30,53,40,36,45
386,9,10,8,6,,,,5,6,5,5
387,25,34,26,45,37,28,35,21,30,27,32
388,6,8,5,10,12,,,,9,4,
389,59,50,62,64,67,50,46,53,48,61,53
390,8,5,10,5,,,,10,,6,6
391,9,15,10,17,14,12,19,7,13,9,11
392,46,53,40,50,48,51,64,64,69,67,59
393,12,18,18,16,17,11,13,11,19,19,19
394,16,15,16,17,11,15,22,13,20,18,21
395,21,7,17,19,16,15,14,12,12,16,21
396,17,26,21,24,22,20,25,26,14,25,24
397,6,,,5,,,,7,7,15,11
398,,,6,6,,,,,4,6,9
399,7,18,13,10,13,14,22,23,24,14,11
400,23,35,28,31,48,39,34,45,43,29,36
401,33,25,9,20,26,26,17,24,19,28,26
402,11,19,21,19,10,24,15,13,17,15,22
403,23,20,17,30,23,16,19,24,28,30,33
404,21,18,13,18,13,13,13,11,26,12,16
405,35,31,36,35,55,39,36,54,50,60,48
406,11,11,15,10,15,12,15,15,14,14,14
407,15,25,19,22,14,18,15,18,17,9,14
408,25,27,21,21,20,20,17,24,29,19,19
409,12,25,21,23,18,29,23,25,21,19,26
410,,4,10,4,,,,5,6,,9
411,7,12,23,14,27,13,15,26,27,32,23
412,5,6,7,6,,,,,,8,5
413,33,49,52,50,53,62,54,46,56,47,58
416,9,7,8,10,,,,9,8,8,9
417,21,19,6,16,14,14,11,19,13,10,14
418,15,18,18,29,32,34,28,33,12,21,15
