id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
373,,,,,15.0,9.0,8.0,6.0,11.0
374,2.0,3.0,4.0,6.0,5.0,2.0,3.0,6.0,7.0
375,5.0,,,,15.0,,8.0,10.0,6.0
376,12.0,13.0,7.0,9.0,16.0,12.0,9.0,12.0,14.0
377,13.0,27.0,16.0,15.0,19.0,22.0,17.0,26.0,25.0
378,3.0,12.0,5.0,,11.0,,15.0,18.0,14.0
379,55.0,59.0,33.0,48.0,63.0,41.0,49.0,57.0,44.0
380,71.0,68.0,63.0,66.0,82.0,75.0,65.0,60.0,61.0
381,2.0,5.0,4.0,,8.0,4.0,5.0,8.0,16.0
382,6.0,5.0,3.0,4.0,,5.0,1.0,3.0,6.0
383,14.0,16.0,20.0,7.0,17.0,12.0,10.0,19.0,14.0
385,10.0,19.0,11.0,12.0,15.0,13.0,14.0,17.0,19.0
386,,3.0,7.0,,,,,,
387,16.0,11.0,8.0,3.0,11.0,9.0,5.0,8.0,6.0
388,2.0,1.0,,,,,2.0,5.0,5.0
389,21.0,26.0,17.0,14.0,30.0,11.0,20.0,28.0,34.0
390,2.0,3.0,1.0,,,,5.0,1.0,2.0
391,7.0,3.0,,,11.0,,6.0,14.0,13.0
392,22.0,19.0,19.0,36.0,40.0,22.0,59.0,65.0,61.0
393,13.0,12.0,3.0,7.0,18.0,9.0,11.0,16.0,21.0
394,7.0,4.0,12.0,9.0,11.0,8.0,11.0,9.0,15.0
395,14.0,9.0,4.0,,9.0,,9.0,8.0,6.0
396,14.0,3.0,16.0,14.0,16.0,10.0,13.0,11.0,11.0
397,,,2.0,,,,4.0,5.0,6.0
398,,,,,,,4.0,5.0,9.0
399,6.0,6.0,11.0,16.0,12.0,13.0,10.0,9.0,10.0
400,30.0,35.0,38.0,24.0,34.0,26.0,32.0,31.0,20.0
401,9.0,18.0,17.0,12.0,9.0,15.0,18.0,18.0,19.0
402,7.0,9.0,7.0,12.0,11.0,14.0,9.0,17.0,8.0
403,7.0,9.0,9.0,11.0,22.0,12.0,26.0,21.0,14.0
404,5.0,6.0,5.0,8.0,9.0,10.0,11.0,5.0,17.0
405,18.0,23.0,19.0,27.0,38.0,29.0,37.0,50.0,37.0
406,4.0,7.0,6.0,10.0,7.0,,8.0,5.0,7.0
407,8.0,9.0,11.0,,10.0,,12.0,10.0,5.0
408,15.0,12.0,13.0,6.0,20.0,11.0,15.0,19.0,11.0
409,7.0,11.0,13.0,14.0,18.0,9.0,18.0,11.0,16.0
410,,2.0,4.0,,,,3.0,5.0,
411,7.0,12.0,12.0,10.0,10.0,11.0,13.0,16.0,13.0
